object size_keys(kB) size_values(kB) total(kB) nr_keys nr_values
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6402864.1.88 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.143420.1.87 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.120859.1.87 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.3.6 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.9.40 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157518.2.43 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6402864.1.59 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.9.91 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.10.57 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.160373.1.65 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.9.69 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.5.78 0 0 0 0 0
